country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
Chile,CHL,Latin America and the Caribbean,2015,Americas,22457.8800614565,45.3,15.282,2.321635,0,0,0,0
Chile,CHL,Latin America and the Caribbean,2010,Americas,17917.8951217097,44.6,18.634,3.1487422,0,0,0,0
China,CHN,Eastern Asia,2020,Asia,18267.4783455827,37.1,12.678,0.5018561,0,0,0,0
China,CHN,Eastern Asia,2015,Asia,13463.3331511105,38.6,10.697,0.6589624,0,0,0,0
China,CHN,Eastern Asia,2010,Asia,9411.13821903204,43.7,9.823,0.9921857,0,0,0,0
Colombia,COL,Latin America and the Caribbean,2020,Americas,15519.2101694656,53.5,27.248,22.642704,1,0,0,1
Colombia,COL,Latin America and the Caribbean,2015,Americas,13332.0555048211,51,17.316,27.215279,1,0,0,0
Colombia,COL,Latin America and the Caribbean,2010,Americas,10841.1279801312,54.6,22.572,34.524174,1,0,0,0
Comoros,COM,Sub-Saharan Africa,2020,Africa,3261.59496762747,30,10.469,1.9105599,0,0,0,0
Comoros,COM,Sub-Saharan Africa,2015,Africa,2949.47342240993,37.5,9.517,3.6797173,0,0,0,0
Comoros,COM,Sub-Saharan Africa,2010,Africa,2333.32778329942,43,9.556,2.820436,0,0,0,0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2020,Africa,1136.00839556367,44.7,9.617,2.727507,0,0,0,0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2015,Africa,859.143482737815,35.3,8.389,1.829519,0,0,0,0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2010,Africa,597.088740789196,43,7.494,1.3891021,0,0,0,0
"Congo, Rep.",COG,Sub-Saharan Africa,2020,Africa,4770.96449758365,43.6,46.326,2.2079382,0,0,0,0
"Congo, Rep.",COG,Sub-Saharan Africa,2015,Africa,4715.13431581624,45.5,41.133,9.421518,0,0,0,0
"Congo, Rep.",COG,Sub-Saharan Africa,2010,Africa,5125.06991343643,55.8,39.978,2.2803977,0,0,0,0
Costa Rica,CRI,Latin America and the Caribbean,2020,Americas,22099.867812715,49.2,40.108,11.322284,0,0,0,0
Costa Rica,CRI,Latin America and the Caribbean,2015,Americas,17525.1404625252,48.4,22.363,11.560721,0,0,0,0
Costa Rica,CRI,Latin America and the Caribbean,2010,Americas,12927.5645930035,48,17.378,11.567261,0,0,0,0
Cote d'Ivoire,CIV,Sub-Saharan Africa,2020,Africa,5543.85096318939,39.5,4.698,1.8870108,0,0,0,0
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015,Africa,4403.64296618998,41.5,3.382,3.6124742,0,0,0,0
Cote d'Ivoire,CIV,Sub-Saharan Africa,2010,Africa,3360.54408826055,37.5,9.074,3.1782088,0,0,0,0
Croatia,HRV,Southern Europe,2020,Europe,31595.9559202678,29.5,21.222,1.0116445,0,0,0,0
Croatia,HRV,Southern Europe,2015,Europe,23758.9515172107,31.1,42.455,0.8843786,0,0,0,0
Croatia,HRV,Southern Europe,2010,Europe,20143.7495528981,32.4,32.355,1.4414765,0,0,0,0
Cuba,CUB,Latin America and the Caribbean,2020,Americas,43853.1712385354,29.9,5.204,14.554594,0,0,0,0
Cuba,CUB,Latin America and the Caribbean,2015,Americas,26877.4665031101,43.7,5.97,5.4899907,0,0,0,0
Cuba,CUB,Latin America and the Caribbean,2010,Americas,21616.7122418461,48.4,6.026,4.4700513,0,0,0,0
Curacao,CUW,Latin America and the Caribbean,2020,Americas,21797.0190062969,49.2,33.74,3.3002937,0,0,0,0
Curacao,CUW,Latin America and the Caribbean,2015,Americas,24037.6486252583,43.7,42.458,11.560721,0,0,0,0
Curacao,CUW,Latin America and the Caribbean,2010,Americas,25956.8107585616,45.5,8.563,11.111509,0,0,0,0
Cyprus,CYP,Western Asia,2020,Asia,43354,31.7,18.491,1.1518548,0,0,0,0
Cyprus,CYP,Western Asia,2015,Asia,31930.763671875,34,32.539,1.2300107,0,0,0,0
Cyprus,CYP,Western Asia,2010,Asia,33505.8828125,31.5,15.852,0.70933527,0,0,0,0
Czechia,CZE,Eastern Europe,2020,Europe,44839.4822099455,26.2,7.936,0.72984886,0,0,0,0
Czechia,CZE,Eastern Europe,2015,Europe,34102.176988058,25.9,12.582,0.8361509,0,0,0,0
Czechia,CZE,Eastern Europe,2010,Europe,28156.9854724601,26.6,18.356,0.98432386,0,0,0,0
Denmark,DNK,Northern Europe,2020,Europe,62682.2899474389,27.5,11.588,0.8231116,0,0,0,0
