year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2020,Costa Rica,CRI,Americas,Latin America and the Caribbean,22099.867812715,49.2,40.108,11.322284,0,0,0,0
2015,Costa Rica,CRI,Americas,Latin America and the Caribbean,17525.1404625252,48.4,22.363,11.560721,0,0,0,0
2010,Costa Rica,CRI,Americas,Latin America and the Caribbean,12927.5645930035,48,17.378,11.567261,0,0,0,0
2020,Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,5543.85096318939,NA,4.698,NA,0,0,0,0
2015,Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,4403.64296618998,41.5,3.382,NA,0,0,0,0
2010,Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,3360.54408826055,NA,9.074,NA,0,0,0,0
2020,Croatia,HRV,Europe,Southern Europe,31595.9559202678,29.5,21.222,1.0116445,0,0,0,0
2015,Croatia,HRV,Europe,Southern Europe,23758.9515172107,31.1,42.455,0.8843786,0,0,0,0
2010,Croatia,HRV,Europe,Southern Europe,20143.7495528981,32.4,32.355,1.4414765,0,0,0,0
2020,Cuba,CUB,Americas,Latin America and the Caribbean,NA,NA,5.204,NA,0,0,0,0
2015,Cuba,CUB,Americas,Latin America and the Caribbean,NA,NA,5.97,5.4899907,0,0,0,0
2010,Cuba,CUB,Americas,Latin America and the Caribbean,NA,NA,6.026,4.4700513,0,0,0,0
2020,Curacao,CUW,Americas,Latin America and the Caribbean,21797.0190062969,NA,NA,NA,0,0,0,0
2015,Curacao,CUW,Americas,Latin America and the Caribbean,24037.6486252583,NA,NA,NA,0,0,0,0
2010,Curacao,CUW,Americas,Latin America and the Caribbean,25956.8107585616,NA,NA,NA,0,0,0,0
2020,Cyprus,CYP,Asia,Western Asia,43354,31.7,18.491,1.1518548,0,0,0,0
2015,Cyprus,CYP,Asia,Western Asia,31930.763671875,34,32.539,1.2300107,0,0,0,0
2010,Cyprus,CYP,Asia,Western Asia,33505.8828125,31.5,15.852,0.70933527,0,0,0,0
2020,Czechia,CZE,Europe,Eastern Europe,44839.4822099455,26.2,7.936,0.72984886,0,0,0,0
2015,Czechia,CZE,Europe,Eastern Europe,34102.176988058,25.9,12.582,0.8361509,0,0,0,0
2010,Czechia,CZE,Europe,Eastern Europe,28156.9854724601,26.6,18.356,0.98432386,0,0,0,0
2020,Denmark,DNK,Europe,Northern Europe,62682.2899474389,27.5,11.588,0.8231116,0,0,0,0
2015,Denmark,DNK,Europe,Northern Europe,48910.3324371901,28.2,12.152,1.0908386,0,0,0,0
2010,Denmark,DNK,Europe,Northern Europe,43042.394637021,27.2,15.554,0.7570483,0,0,0,0
2020,Djibouti,DJI,Africa,Sub-Saharan Africa,5527.00185229888,NA,82.409,NA,0,0,1,0
2015,Djibouti,DJI,Africa,Sub-Saharan Africa,4263.96288890455,NA,72.503,NA,0,0,1,0
2010,Djibouti,DJI,Africa,Sub-Saharan Africa,NA,NA,70.018,NA,0,0,1,0
2020,Dominica,DMA,Americas,Latin America and the Caribbean,14243.7623123898,NA,NA,22.198215,1,0,0,0
2015,Dominica,DMA,Americas,Latin America and the Caribbean,12092.7315992676,NA,NA,12.782275,0,0,0,0
2010,Dominica,DMA,Americas,Latin America and the Caribbean,10924.0953245506,NA,NA,21.783804,1,0,0,0
2020,Dominican Republic,DOM,Americas,Latin America and the Caribbean,18998.3069667315,39.6,14.766,8.729776,0,0,0,0
2015,Dominican Republic,DOM,Americas,Latin America and the Caribbean,14804.0974069659,45.2,16.426,NA,0,0,0,0
2010,Dominican Republic,DOM,Americas,Latin America and the Caribbean,11245.6811892201,47.3,10.81,25.193033,1,0,0,0
2020,Ecuador,ECU,Americas,Latin America and the Caribbean,11526.8013009278,47.3,11.079,7.8194175,0,0,0,0
2015,Ecuador,ECU,Americas,Latin America and the Caribbean,10877.7507461388,46,8.824,6.4550934,0,0,0,0
2010,Ecuador,ECU,Americas,Latin America and the Caribbean,8968.94040838943,48.8,9.286,17.404345,0,0,0,0
2020,"Egypt, Arab Rep.",EGY,Africa,Northern Africa,15231.865417764,NA,18.463,NA,0,0,0,0
2015,"Egypt, Arab Rep.",EGY,Africa,Northern Africa,10903.3368231185,31.8,34.16,NA,0,0,0,0
2010,"Egypt, Arab Rep.",EGY,Africa,Northern Africa,8837.76450033703,30.2,24.583,NA,0,0,0,0
2020,El Salvador,SLV,Americas,Latin America and the Caribbean,9392.68913817943,NA,11.069,21.508745,1,0,0,0
2015,El Salvador,SLV,Americas,Latin America and the Caribbean,7933.73697858999,40.6,8.661,107.63823,1,0,0,0
2010,El Salvador,SLV,Americas,Latin America and the Caribbean,6247.91452716829,43.5,10.156,65.70264,1,0,0,0
2020,Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,13677.110587517,NA,17.665,NA,0,0,0,0
2015,Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,19478.7010123338,NA,15.692,NA,0,0,0,0
2010,Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,26167.8268525276,NA,15.958,NA,0,0,0,0
2020,Eritrea,ERI,Africa,Sub-Saharan Africa,NA,NA,10.732,NA,0,0,0,0
2015,Eritrea,ERI,Africa,Sub-Saharan Africa,NA,NA,9.758,NA,0,0,0,0
2010,Eritrea,ERI,Africa,Sub-Saharan Africa,1599.19106106457,NA,10.228,NA,0,0,0,0
